BookAbbrev	Chapter:Verse	Annotation	Source
Jb	36:20	Aboue al other Law-giuers God is most able to punish transgressours, but most willing & most able to reward the obseruers. S. Gregorie expoundeth this to be a prophecie of Christ our singular Law-giuer. 27. c. 1.	scan-pdf
Jb	36:29	worse & worse cogitations succeed in place of the first. S. Greg. l. 26. c. 38.	scan-pdf
Jb	36:32	Christ wil giue the glorious light of heauen, which now is hidden to men that lost terrestrial paradise. ibidem. c. 12.	scan-pdf
Jb	37:1	Consideration of heauenly rewards mentioned in the end of the former chapter, comforteth the afflicted: but thunder and other meteors being figures of Gods iudgement, strike the hart with terrour.	scan-pdf
Jb	37:9	North wind, or north-pole.	scan-pdf
Jb	37:12	God directeth the clouds in the ayre, as a master mariner gouerneth a ship.	scan-pdf
Jb	37:15	Man not able to praise God sufficiently, prayfeth him with feare.	scan-pdf
Jb	37:24	Iob conuinced the former three with found answers this last and most arrogant with silence.	scan-pdf
Jb	38:2	The third part. The earth and the last dispute. God discusseth the controuerfie, and giueth sentence for Iob.	scan-pdf
Jb	38:4	Onlie the Creatour hath absolute and perfect knowledge of al creatures.	scan-pdf
Jb	38:32	In some Editions the 39.chap beginneth here.	scan-pdf
Jb	39:1	Wild goats.	scan-pdf
Jb	39:5	Wilde asses.	scan-pdf
Jb	39:9	Vnicornes.	scan-pdf
Jb	39:13	Ostriches.	scan-pdf
Jb	39:19	Horsses are of singular great courago	scan-pdf
Jb	39:26	Haukes; wherof Aristotel faith there be ten kinds: Plinie sixteen.	scan-pdf
Jb	39:27	Eagles, at most strong-fight.	scan-pdf
Jb	40:1	Though Iob had truly auouched that his sinnes deserued not so great afflictions, yet he ought to haue acknowledged that God afflicted him iustly, for some other cause knowne to God, but vnknowen to him: which he not confessing seemed to make Gods iudgement vniust or of none effect. S. Greg. l. 33. c. 5.	scan-pdf
Jb	40:10	An Elephant the greatest of al beasts, of long life, strong, meeke, temperate, chast, ouercome by the Vnicorne, or Dragon, or taken by the nose & led away. How much more doth Gods prouidence giue man power to ouercome the diuel?	scan-pdf
Jb	40:20	An huge great fish, perhaps the whale, exceeding mans power to be managed, yet is subiect as also the diuel signified therby, to Gods power, & prouidence.	scan-pdf
Jb	41:1	God ruleth al his creatures, not with crueltie as a tyrant, but with iustice, ease, & power.	scan-pdf
Jb	41:10	God at last destroyeth him whom man can not ouercome.	scan-pdf
