BookAbbrev	Chapter:Verse	Annotation	Source
1Kings	15:14	Those altars which Salomon had made for his wiues that were idolaters Asa destroyed not, but al which Roboam and Abias had made, or suffered to be made for their owne people, he pulled downe. Iosias afterward destroyed also those which Salomon had made.	scan-pdf
1Kings	17:20	To this question (saith S. Augustin) the Prophet answered in spirite: No. For God killed not this childe to afflict so good a mother, but to confirme her in true religion and comfort her by raising him from death. So Lazarus died not to remaine dead, but to be raised to life, for Gods more glorie. S. Aug. li. 2. q. ad Simplicia.	scan-pdf
1Kings	18:21	Such zelous expostulation is necessarie to al Neutrals in religion who are neither hot nor cold, but luke warme, such as Angels detest. Apoc. 3.	scan-pdf
1Kings	19:10	Elias knew of no other at that instant in the tenne tribes, that were not partakers in idolatrie; but there were in deed seuen thousand (v. 18.) that bowed not their knees to Baal. And the whole Kingdom of Iuda obserued true religion.	scan-pdf
1Kings	20:28	Manie victories and other benefits were bestowed vpon Achab, to make him know God: but contemning them al remained in his impietie, and finally was slaine.	scan-pdf
1Kings	21:1	If no subiect were Lord of anie land, but only at the Kings pleasure, and Kings were proper Lords of al the lands in their Kingdomes, then Achab might haue taken Naboths vineyard. Neither was it a vaine scruple in Naboth, to conserwe his ancestors inheritance. For both his deniall is here iustified, and Achabs extortion condemned. S. Ambrose li. 2. offic. c. 9.	scan-pdf
1Kings	21:3	To auoid horrour of blasphemie holie Scripture often vseth the terme blessing for cursing.	scan-pdf
1Kings	22:6	The godlie King Iosaphat iustly suspecting the schismatical false Prophets, aduised the other King to consult a true Prophet of God.	scan-pdf
1Kings	22:11	False Prophets imitate true Prophets in some exterior things, to make their Prophecies seeme more authentical. Such hornes appeared in a propheticall vision to Zacharie the Prophet, Zach. 1. v. 18.	scan-pdf
2Kings	4:35	God sent his law by his seruant, and it auailed not to mankind dead in sinnes. But he comming and accommodating himselfe to our infirmitie, participating our death, we are quickened. So S. Augustine mystically applieth this figuratiue miracle to Christ and his Church. li. 12. c. 35. cont. Faust. Manich.	scan-pdf
2Kings	5:15	In respect of Gods special electing and sanctifying the land of Chanaan, by his true religion, Naaman rightly esteemed that earth fitter for an altar, then the earth of his owne countrie.	scan-pdf
2Kings	5:27	Giezi prefigured Iudas the false Apostle of Christ, and al those that buy or sel spiritual things for money, who by their auarice lose Gods grace, and gaine infamie in this world, and eternal damnation in the next. S. Aug. ser. 108. de tempore.	scan-pdf
2Kings	7:1	Discourse of mans reason can not reach to the power of God, who can doe al that he wil, and wil doe al that he saith: therefore the incredulous are iustly punished. v. 10.	scan-pdf
2Kings	8:10	This was true in some sense, sicknes ending when death came.	scan-pdf
2Kings	10:30	Moral good workes done in state of mortal sinne are not meriting eternal life, but are often temporally rewarded.	scan-pdf
2Kings	11:1	Ambition cause of much crueltie.	scan-pdf
2Kings	12:4	That is, their estimarie oblation, for ech particular person. Exod. 30.	scan-pdf
2Kings	13:19	Mystically signified to the Prophet that so often as the King should strike the earth, so often he should get victories against the Syrians. But he knew not how often he should strike on the earth.	scan-pdf
2Kings	18:4	This image was a type or figure not only recounting a miraculous health, but also long after was specially kept in memorie of the benefite: but when the people of Israel gaue it honour which is proper to God only, good Ezechias broke it. And so were those images no idols in themselues, but when there were who gaue them honour or seruice, called idolatrie. And so in the Catholike Church when any holy Relicke or Image is abused, it is taken away, or the error otherwise corrected.	scan-pdf
2Kings	21:7	God protected and preserued true religion, though the wicked practised abominations. Manasses in captiuitie became vertuous and recouered his Kingdome. 2. Par. c. 33.	scan-pdf
2Kings	23:9	Because they had offered sacrifice to false Gods and in vnlawful places, they were suspended from offering any more sacrifice at al.	scan-pdf
2Kings	25:7	Certaine false Prophets perswaded the King and the people not to beleeue the Prophets, who forewarned them of these calamities, because they said the one contradicted the other. Ieremie said (ch. 32.) Sedecias should see the eyes of Nabuchodonosor, and would be led into Babylon; Ezechiel said (ch. 12.) he should not see Babylon. Both were true: for he was caried thither after his eies were put out.	scan-pdf
1Chr	1:1	Adam had two other sonnes before Seth, but Cains race was extinguished by the flood, and Abels had no children.	scan-pdf
1Chr	5:1	See annotations Gen. 49. v. 4.	scan-pdf
1Chr	17:7	That is, confirmed and preserue thy seed, and familie, as we see it performed euen to the B. Virgin Marie and Christ of the house of Dauid. Mat. 1. Luc. 1. 3.	scan-pdf
1Chr	21:1	By Gods permission Dauid was tempted and ouercome. 2. Reg. 24.	scan-pdf
1Chr	21:8	King Dauid was not without faith, nor hope, and yet was contaminate with iniquitie, from which he prayed to be deliuered.	scan-pdf
1Chr	26:10	Either his first sonne was dead, or was not fitte to be chiefe ouer the rest.	scan-pdf
1Chr	26:26	Things are sanctified by designation to holy vse.	scan-pdf
2Chr	4:1	As wel the Temple as the Altars, and other appertainances were made after the forme of Moyses Tabernacle, but greater in quantitie, of more precious matter, and more excellent workmanship.	scan-pdf
2Chr	6:30	In this chapter and oft els where it is euident, that places dedicated to Gods seruice are more acceptable to him, then other places.	scan-pdf
2Chr	9:8	They are called Kings of God, which reigne by his grace and according to his wil.	scan-pdf
2Chr	15:2	Cooperation with Gods grace meriteth increase of grace.	scan-pdf
2Chr	20:33	He destroyed the places where sacrifice was offered to idols, but tolerated other places where the people offered to God our Lord without the temple, not being able to reduce al to perfection.	scan-pdf
2Chr	23:17	They are wilfully blind that wil not see difference between images of Baal and of Christ or of his Saints.	scan-pdf
2Chr	25:23	Obduration of hart for former sinne.	scan-pdf
2Chr	28:23	Wicked policie auaileth nothing, but hurteth much.	scan-pdf
2Chr	30:19	Being penitent in hart for their sinnes, Gods dispensation might be supposed for legal purification in case of necessitie, which otherwise was strictly commanded.	scan-pdf
2Chr	30:24	Voluntarie workes of supererogation, more then was commanded.	scan-pdf
2Chr	32:25	More danger of pride in prosperitie, then in aduersitie.	scan-pdf
2Chr	34:14	Giuen by the hand of Moyses.	scan-pdf
2Chr	34:28	It is a benediction to be taken out of this world, before general miserie come vpon the people.	scan-pdf
2Chr	36:22	It is like that Esdras added this conclusion when he restored the holie Scriptures that were lost, for he beginneth his owne booke with the same wordes.	scan-pdf
Jgs	9:8	According to the historie Ioatham Gedeons yongest sonne, by a parable iustly expostulateth the iniurie done by the Sichemites to his fathers house, in preferring a base bond-womans sonne, and cruelly murdering the rest of his sonnes: who with much trauel, and manie dangers of his owne life, had deliuered them from seruitude. As in the spiritual sense, which (as the ancient fathers note) is chiefly intended, Idolaters and Heretikes are reproued, who rather accept of vniust vsurpers, that wil serue their licentious appetites, and mantaine vice and wickednes, then to be ruled by iust and lawful men Superiours, appointed by Gods ordinance, indued with grace of the Holie Ghost (signified by the oliue tree); such as bring forth wholesome sweet vertues signified by the figge tree; and are replenished with admirable fortitude (signified by the vine tree); and in their places set vp base, ambitious, cruel, and crabbed spirits, signified by the bramble, or brier. Thus Nemrod, Abimelech, Mahomet, and innumerable other tyrants haue been aduanced, & especially Antichrist shal be exolled aboue al that is called God, or is worshipped, and shal most cruelly persecute al Catholikes, that wil not conforme themselues to his proceedings. But in fine (as here is prefigured in Abimelech) so shal rise against this bramble Antichrist, and shal deuour him and al his together. S. Beda. qq. in lib. Iudic. c. 6.	scan-pdf
Jgs	11:37	In the old testament marriage was ordinarily preferred before single life, but in the new it is better to keepe virginitie. 1. Cor. 7. v. 36.	scan-pdf
Jgs	13:10	Al ancient fathers and Catholike writers say, this was an Angel, which appeared in the forme of a man, and it is plaine by the text. Yet some Protestants wil haue this person to be Christ, the eternal word of God, Who afterwards became man. And neuertheles where by and by (v. 16.) he admonisheth Manue to offer sacrifice to God, they note that he sought not his owne honour but Gods, whose messenger he was: either plainely contradicting themselues, or els teaching Arrianisme, as though the Sonne of God were not God; or inferiour to God the Father.	scan-pdf
Ezr	1:6	Liberally gaue such things into their hands.	scan-pdf
Ezr	2:1	This enumeration of the Israelites, which ascended into Jerusalem, signifieth the Elect which ascend from the militant Church to the triumphant.	scan-pdf
